"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US01501","ZCTA5 01501","16208","79",
"8600000US01503","ZCTA5 01503","2957","35",
"8600000US01504","ZCTA5 01504","9078","19",
"8600000US01505","ZCTA5 01505","4432","32",
"8600000US01506","ZCTA5 01506","3405","21",
"8600000US01507","ZCTA5 01507","13215","20",
"8600000US01510","ZCTA5 01510","13727","42",
"8600000US01515","ZCTA5 01515","2198","169",
"8600000US01516","ZCTA5 01516","8650","50",
"8600000US01518","ZCTA5 01518","2951","482",
"8600000US01519","ZCTA5 01519","6301","569",
"8600000US01520","ZCTA5 01520","14929","298",
"8600000US01521","ZCTA5 01521","2498","20",
"8600000US01522","ZCTA5 01522","3089","311",
"8600000US01523","ZCTA5 01523","7877","141",
"8600000US01524","ZCTA5 01524","6827","404",
"8600000US01525","ZCTA5 01525","138","101",
"8600000US01527","ZCTA5 01527","13391","50",
"8600000US01529","ZCTA5 01529","3208","25",
"8600000US01531","ZCTA5 01531","1133","127",
"8600000US01532","ZCTA5 01532","14814","36",
"8600000US01534","ZCTA5 01534","6378","635",
"8600000US01535","ZCTA5 01535","4734","17",
"8600000US01536","ZCTA5 01536","7634","637",
"8600000US01537","ZCTA5 01537","2444","598",
"8600000US01540","ZCTA5 01540","11112","589",
"8600000US01541","ZCTA5 01541","3456","21",
"8600000US01542","ZCTA5 01542","2110","464",
"8600000US01543","ZCTA5 01543","8316","18",
"8600000US01545","ZCTA5 01545","35963","250",
"8600000US01550","ZCTA5 01550","16802","31",
"8600000US01560","ZCTA5 01560","4558","270",
"8600000US01561","ZCTA5 01561","141","136",
"8600000US01562","ZCTA5 01562","11773","21",
"8600000US01564","ZCTA5 01564","7896","26",
"8600000US01566","ZCTA5 01566","6469","484",
"8600000US01568","ZCTA5 01568","7468","156",
"8600000US01569","ZCTA5 01569","13828","136",
"8600000US01570","ZCTA5 01570","16827","32",
"8600000US01571","ZCTA5 01571","11515","29",
"8600000US01581","ZCTA5 01581","18611","52",
"8600000US01583","ZCTA5 01583","7442","273",
"8600000US01585","ZCTA5 01585","4664","348",
"8600000US01588","ZCTA5 01588","9668","638",
"8600000US01590","ZCTA5 01590","9080","74",
"8600000US01602","ZCTA5 01602","23709","957",
"8600000US01603","ZCTA5 01603","20053","1212",
"8600000US01604","ZCTA5 01604","35441","1234",
"8600000US01605","ZCTA5 01605","28242","1427",
"8600000US01606","ZCTA5 01606","19209","881",
"8600000US01607","ZCTA5 01607","9288","724",
"8600000US01608","ZCTA5 01608","3275","788",
"8600000US01609","ZCTA5 01609","20916","1065",
"8600000US01610","ZCTA5 01610","23912","1514",
"8600000US01611","ZCTA5 01611","2548","343",
"8600000US01612","ZCTA5 01612","4895","59",
"8600000US01701","ZCTA5 01701","31949","752",
"8600000US01702","ZCTA5 01702","38573","764",
"8600000US01718","ZCTA5 01718","415","182",
"8600000US01719","ZCTA5 01719","5137","24",
"8600000US01720","ZCTA5 01720","22436","197",
"8600000US01721","ZCTA5 01721","17159","62",
"8600000US01730","ZCTA5 01730","13847","96",
"8600000US01731","ZCTA5 01731","2082","188",
"8600000US01740","ZCTA5 01740","5067","35",
"8600000US01741","ZCTA5 01741","5074","29",
"8600000US01742","ZCTA5 01742","19345","66",
"8600000US01745","ZCTA5 01745","373","125",
"8600000US01746","ZCTA5 01746","14197","25",
"8600000US01747","ZCTA5 01747","5942","18",
"8600000US01748","ZCTA5 01748","15925","41",
"8600000US01749","ZCTA5 01749","19602","30",
"8600000US01752","ZCTA5 01752","39425","35",
"8600000US01754","ZCTA5 01754","10459","34",
"8600000US01756","ZCTA5 01756","5938","41",
"8600000US01757","ZCTA5 01757","28543","161",
"8600000US01760","ZCTA5 01760","34683","80",
"8600000US01770","ZCTA5 01770","4245","27",
"8600000US01772","ZCTA5 01772","9536","129",
"8600000US01773","ZCTA5 01773","5262","171",
"8600000US01775","ZCTA5 01775","6957","29",
"8600000US01776","ZCTA5 01776","18397","46",
"8600000US01778","ZCTA5 01778","13562","63",
"8600000US01801","ZCTA5 01801","39609","182",
"8600000US01803","ZCTA5 01803","25467","34",
"8600000US01810","ZCTA5 01810","34616","39",
"8600000US01821","ZCTA5 01821","31607","602",
"8600000US01824","ZCTA5 01824","25669","332",
"8600000US01826","ZCTA5 01826","30633","93",
"8600000US01827","ZCTA5 01827","3343","17",
"8600000US01830","ZCTA5 01830","26499","763",
"8600000US01832","ZCTA5 01832","22397","856",
"8600000US01833","ZCTA5 01833","8441","28",
"8600000US01834","ZCTA5 01834","6646","37",
"8600000US01835","ZCTA5 01835","13183","549",
"8600000US01840","ZCTA5 01840","5165","405",
"8600000US01841","ZCTA5 01841","48242","1040",
"8600000US01843","ZCTA5 01843","25397","1014",
"8600000US01844","ZCTA5 01844","48607","67",
"8600000US01845","ZCTA5 01845","29271","34",
"8600000US01850","ZCTA5 01850","16006","958",
"8600000US01851","ZCTA5 01851","30022","927",
"8600000US01852","ZCTA5 01852","33822","1012",
"8600000US01854","ZCTA5 01854","29557","1049",
"8600000US01860","ZCTA5 01860","6601","35",
"8600000US01862","ZCTA5 01862","10985","910",
"8600000US01863","ZCTA5 01863","9088","330",
"8600000US01864","ZCTA5 01864","15396","33",
"8600000US01867","ZCTA5 01867","24852","182",
"8600000US01876","ZCTA5 01876","29479","560",
"8600000US01879","ZCTA5 01879","12053","25",
"8600000US01880","ZCTA5 01880","25819","160",
"8600000US01886","ZCTA5 01886","23232","25",
"8600000US01887","ZCTA5 01887","23141","31",
"8600000US01890","ZCTA5 01890","22075","31",
"8600000US01901","ZCTA5 01901","1371","316",
"8600000US01902","ZCTA5 01902","47052","1210",
"8600000US01904","ZCTA5 01904","17521","919",
"8600000US01905","ZCTA5 01905","25668","888",
"8600000US01906","ZCTA5 01906","27620","60",
"8600000US01907","ZCTA5 01907","14217","105",
"8600000US01908","ZCTA5 01908","3454","22",
"8600000US01913","ZCTA5 01913","16907","26",
"8600000US01915","ZCTA5 01915","40670","36",
"8600000US01921","ZCTA5 01921","8138","38",
"8600000US01922","ZCTA5 01922","2803","396",
"8600000US01923","ZCTA5 01923","27266","51",
"8600000US01929","ZCTA5 01929","3608","15",
"8600000US01930","ZCTA5 01930","29399","24",
"8600000US01937","ZCTA5 01937","134","24",
"8600000US01938","ZCTA5 01938","13616","21",
"8600000US01940","ZCTA5 01940","12944","230",
"8600000US01944","ZCTA5 01944","5286","18",
"8600000US01945","ZCTA5 01945","20270","46",
"8600000US01949","ZCTA5 01949","9436","19",
"8600000US01950","ZCTA5 01950","17766","24",
"8600000US01951","ZCTA5 01951","4051","397",
"8600000US01952","ZCTA5 01952","8672","29",
"8600000US01960","ZCTA5 01960","51729","129",
"8600000US01966","ZCTA5 01966","7111","29",
"8600000US01969","ZCTA5 01969","6081","22",
"8600000US01970","ZCTA5 01970","42332","107",
"8600000US01982","ZCTA5 01982","8102","39",
"8600000US01983","ZCTA5 01983","6379","22",
"8600000US01984","ZCTA5 01984","5092","21",
"8600000US01985","ZCTA5 01985","4427","18",
"8600000US02019","ZCTA5 02019","16682","18",
"8600000US02021","ZCTA5 02021","22276","30",
"8600000US02025","ZCTA5 02025","8281","25",
"8600000US02026","ZCTA5 02026","25224","28",
"8600000US02030","ZCTA5 02030","5814","16",
"8600000US02032","ZCTA5 02032","4080","460",
"8600000US02035","ZCTA5 02035","17243","43",
"8600000US02038","ZCTA5 02038","32731","32",
"8600000US02043","ZCTA5 02043","22733","23",
"8600000US02045","ZCTA5 02045","10403","25",
"8600000US02047","ZCTA5 02047","151","170",
"8600000US02048","ZCTA5 02048","23482","30",
"8600000US02050","ZCTA5 02050","25786","214",
"8600000US02052","ZCTA5 02052","12368","21",
"8600000US02053","ZCTA5 02053","13069","29",
"8600000US02054","ZCTA5 02054","8051","48",
"8600000US02056","ZCTA5 02056","11427","99",
"8600000US02061","ZCTA5 02061","10740","27",
"8600000US02062","ZCTA5 02062","28962","27",
"8600000US02066","ZCTA5 02066","17880","232",
"8600000US02067","ZCTA5 02067","17837","100",
